Sol_number,Travel,Profit,TTPreward,Maximum_capacity
0,5773.9152058226455,3503.0,-538.7406440758514,4093
1,6157.082248885921,4561.0,251.04242577985588,4093
2,5632.5307450581095,5090.0,1147.2284784593235,4093
3,6166.350490398201,5090.0,773.5546567212596,4093
4,5690.2085822839035,4499.0,515.853992401268,4093
5,7429.517374580279,5090.0,-110.66216220619481,4093
6,5633.510702602947,3503.0,-440.4574918220628,4093
7,6427.860272865983,5090.0,590.4978089938122,4093
8,6228.815881708587,4561.0,200.82888280398947,4093
9,5427.077556915394,4499.0,700.0457101592247,4093
0,6668.781160901579,4831.0,1096.4825498951154,4093
1,4973.740972130956,4893.0,2107.7050556066642,4093
2,5901.286164429937,4893.0,1588.279747919235,4093
3,6186.372411759843,4893.0,1428.6314494144876,4093
4,6770.601022341042,4893.0,1101.4634274890159,4093
5,5485.609949347028,4893.0,1821.058428365664,4093
6,5651.0415416495,4893.0,1728.41673667628,4093
7,6351.453280683838,4831.0,1274.1861628170504,4093
8,6059.289555894031,4831.0,1437.7978486993425,4093
9,5851.785091409941,4893.0,1616.000348810433,4093
0,6961.229697945744,4831.0,932.7113691503828,4093
1,5487.532772138944,4302.0,1228.981647602191,4093
2,5783.770835384908,4302.0,1063.0883321844508,4093
3,8357.14439019897,5298.0,617.9991414885762,4093
4,6195.535800640296,4893.0,1423.499951641434,4093
5,4840.513406016293,4893.0,2182.312492630876,4093
6,5141.20065160236,4893.0,2013.9276351026779,4093
7,5999.665858696585,4893.0,1533.187119129912,4093
8,6938.941988082577,4364.0,478.1924866737563,4093
9,6130.505901260507,4893.0,1459.916695294116,4093
0,7576.162246378544,4893.0,650.3491420280152,4093
1,6620.804144348351,4893.0,1185.3496791649231,4093
2,5922.806807953223,4893.0,1576.228187546195,4093
3,6191.2697641296845,4302.0,834.8889320873764,4093
4,6046.581961386613,4893.0,1506.9141016234962,4093
5,5517.457934576545,4893.0,1803.2235566371346,4093
6,5973.668611845319,4302.0,956.7455773666211,4093
7,6802.1034747968815,4893.0,1083.8220541137462,4093
8,5937.481174490253,4302.0,977.0105422854581,4093
9,7226.50270849586,4893.0,846.1584832423177,4093
0,6906.8691903695235,5476.0,-1430.8691903695235,4093
1,5831.788697995394,4480.0,-1351.7886979953937,4093
2,5143.579405333079,4418.0,-725.5794053330792,4093
3,6706.47323453756,5476.0,-1230.4732345375596,4093
4,5196.88498099278,3951.0,-1245.8849809927797,4093
5,5452.929029253597,4418.0,-1034.929029253597,4093
6,4816.94029398081,3889.0,-927.9402939808097,4093
7,5895.22116986947,3484.0,-2411.22116986947,4093
8,7633.014378410224,5476.0,-2157.014378410224,4093
9,5960.124859776572,4418.0,-1542.1248597765716,4093
0,6017.643695336331,4893.0,1523.1195306116542,4093
1,5635.730255825694,4893.0,1736.991056737611,4093
2,6824.487623948349,4893.0,1071.286930588924,4093
3,5509.717788686777,4302.0,1216.558038335405,4093
4,7122.778862928619,4893.0,904.243836759973,4093
5,6547.484701120442,4831.0,1164.4085673725522,4093
6,5480.8876146710245,4302.0,1232.7029357842262,4093
7,7365.372204155319,4893.0,768.3915656730205,4093
8,6441.8474710401015,4893.0,1285.5654162175429,4093
9,5559.6136600755235,4364.0,1250.6163503577063,4093
0,5968.56416936696,4893.0,1550.6040651545018,4093
1,7072.17814550484,4893.0,932.5802385172892,4093
2,5224.415224320908,4893.0,1967.3274743802913,4093
3,6688.186296714956,4893.0,1147.615673839624,4093
4,6720.333921765062,4893.0,1129.6130038115648,4093
5,5926.647019857607,4893.0,1574.0776688797396,4093
6,6903.3822420455535,4893.0,1027.1059444544899,4093
7,8191.754737377152,4302.0,-285.3826529312055,4093
8,6686.926739508524,4893.0,1148.321025875226,4093
9,5982.8959593136315,3306.0,-44.42173721563404,4093
0,6039.6062613613785,4893.0,1510.8204936376278,4093
1,7100.336343859628,4302.0,325.8116474386079,4093
2,6225.625371180489,4364.0,877.6497921389255,4093
3,5891.470518267877,4893.0,1593.7765097699885,4093
4,7846.001244906332,4831.0,437.2393028524539,4093
5,5769.391067845929,4893.0,1662.1410020062795,4093
6,6262.767539485307,4893.0,1385.8501778882278,4093
7,8256.594806257961,4893.0,269.3069084955414,4093
8,6325.017383921092,4893.0,1350.9902650041881,4093
9,6292.196013220413,4893.0,1369.3702325965683,4093
0,6334.838544338979,4893.0,1345.4904151701717,4093
1,7694.874464368963,4893.0,583.8702999533798,4093
2,7136.713955505329,4893.0,896.4401849170154,4093
3,6568.0605135737605,4893.0,1214.886112398694,4093
4,6690.096714157088,4893.0,1146.5458400720304,4093
5,5212.155467523503,4302.0,1383.192938186838,4093
6,6189.823617316029,4893.0,1426.6987743030231,4093
7,6392.307181099739,3835.0,255.30797858414599,4093
8,5881.497140219432,4893.0,1599.3616014771173,4093
9,6334.932595079621,4893.0,1345.4377467554118,4093
0,6922.260846358913,4831.0,954.5339260390083,4093
1,6746.177010271195,4302.0,524.1408742481303,4093
2,7244.41921038927,4893.0,836.1252421820082,4093
3,7699.944709519381,4831.0,519.030962669146,4093
4,6368.642993642357,4893.0,1326.5599235602795,4093
5,6328.478220365077,4893.0,1349.0521965955568,4093
6,6638.380022684717,4831.0,1113.5071872965582,4093
7,6868.432546750479,4893.0,1046.6777738197316,4093
8,6859.949487684238,4831.0,989.4282868968262,4093
9,6430.316625047469,4893.0,1292.022689973417,4093
