Problem name,DeepRLTTP&PK
berlin52-TTP_trivialized_9bounded strongly corr00,308.91916572146243
berlin52-TTP_trivialized_9bounded strongly corr01,1520.0021755693288
berlin52-TTP_trivialized_9bounded strongly corr02,1293.3816870898372
berlin52-TTP_trivialized_9bounded strongly corr03,1142.0690256095281
berlin52-TTP_trivialized_9bounded strongly corr04,-1405.7825240519007
berlin52-TTP_trivialized_9bounded strongly corr05,1215.3884228438615
berlin52-TTP_trivialized_9bounded strongly corr06,1014.7440704765886
berlin52-TTP_trivialized_9bounded strongly corr07,1078.2956331828407
berlin52-TTP_trivialized_9bounded strongly corr08,1119.7231891817828
berlin52-TTP_trivialized_9bounded strongly corr09,995.1079063280662
